Item,period_day,weekday_weekend
Frittata,afternoon,weekend
Coffee,afternoon,weekend
Tea,afternoon,weekend
Scandinavian,afternoon,weekend
Chicken sand,afternoon,weekend
Bread,afternoon,weekend
Tea,afternoon,weekend
Victorian Sponge,afternoon,weekend
Fudge,afternoon,weekend
Muffin,afternoon,weekend
Coffee,afternoon,weekend
Bread,afternoon,weekend
Bread,afternoon,weekend
Coffee,afternoon,weekend
Bread,afternoon,weekend
Jam,afternoon,weekend
Frittata,afternoon,weekend
Coffee,afternoon,weekend
Scandinavian,afternoon,weekend
Fudge,afternoon,weekend
Fudge,afternoon,weekend
Tea,afternoon,weekend
Coffee,afternoon,weekend
Muffin,afternoon,weekend
Frittata,afternoon,weekend
Bread,afternoon,weekend
Coffee,afternoon,weekend
Coffee,morning,weekday
Cake,morning,weekday
Tartine,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Medialuna,morning,weekday
Juice,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Jam,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Coke,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Pastry,morning,weekday
Farm House,morning,weekday
Pastry,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Juice,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Juice,morning,weekday
Farm House,morning,weekday
Pastry,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Farm House,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Medialuna,morning,weekday
Muffin,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Cake,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Farm House,morning,weekday
Muffin,morning,weekday
Bread,morning,weekday
Muffin,morning,weekday
Pastry,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Cake,morning,weekday
Farm House,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Cookies,morning,weekday
Cake,morning,weekday
Coffee,morning,weekday
My-5 Fruit Shoot,morning,weekday
Cookies,morning,weekday
Cookies,morning,weekday
Tea,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Muffin,morning,weekday
Farm House,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Cookies,morning,weekday
Jam,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Juice,morning,weekday
Coffee,morning,weekday
Soup,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Jam,morning,weekday
Farm House,morning,weekday
Tartine,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Cake,morning,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Muffin,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Juice,afternoon,weekday
Pick and Mix Bowls,afternoon,weekday
Cookies,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Soup,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Tea,afternoon,weekday
Farm House,afternoon,weekday
Bread,afternoon,weekday
Tea,afternoon,weekday
Soup,afternoon,weekday
Farm House,afternoon,weekday
Soup,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Muffin,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Cookies,afternoon,weekday
Bread,afternoon,weekday
Tea,afternoon,weekday
Muffin,afternoon,weekday
Tea,afternoon,weekday
Soup,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Focaccia,afternoon,weekday
Sandwich,afternoon,weekday
Tartine,afternoon,weekday
Coffee,afternoon,weekday
Fudge,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Coke,afternoon,weekday
Soup,afternoon,weekday
Muffin,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Cookies,afternoon,weekday
Muffin,afternoon,weekday
Mighty Protein,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Coffee,afternoon,weekday
Coke,afternoon,weekday
Tea,afternoon,weekday
Muffin,afternoon,weekday
Sandwich,afternoon,weekday
Coffee,afternoon,weekday
Muffin,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Muffin,afternoon,weekday
Bread,afternoon,weekday
Hot chocolate,afternoon,weekday
Cookies,afternoon,weekday
Mineral water,afternoon,weekday
Muffin,afternoon,weekday
Tea,afternoon,weekday
Muffin,afternoon,weekday
Coffee,afternoon,weekday
Juice,afternoon,weekday
Coffee,afternoon,weekday
Muffin,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Muffin,afternoon,weekday
Sandwich,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Bread,afternoon,weekday
Mineral water,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Mineral water,afternoon,weekday
Coffee,afternoon,weekday
Soup,afternoon,weekday
Tea,afternoon,weekday
Bread,evening,weekday
Coffee,evening,weekday
Bread,evening,weekday
Muffin,evening,weekday
Coffee,evening,weekday
Bread,evening,weekday
Cookies,evening,weekday
Coffee,evening,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Jam,morning,weekday
Tea,morning,weekday
Tea,morning,weekday
Tea,morning,weekday
Pastry,morning,weekday
Pastry,morning,weekday
Ella's Kitchen Pouches,morning,weekday
Pastry,morning,weekday
Farm House,morning,weekday
Tea,morning,weekday
Tea,morning,weekday
Victorian Sponge,morning,weekday
Tea,morning,weekday
Pastry,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Pastry,morning,weekday
Soup,morning,weekday
Tea,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Scandinavian,morning,weekday
Bread,morning,weekday
Cake,morning,weekday
Cookies,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Cookies,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Scandinavian,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Scandinavian,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Hearty & Seasonal,afternoon,weekday
Coffee,afternoon,weekday
Muffin,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Scandinavian,afternoon,weekday
Soup,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Cookies,afternoon,weekday
Tartine,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Tea,afternoon,weekday
Tea,afternoon,weekday
Pastry,afternoon,weekday
Coffee,afternoon,weekday
Tartine,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Cookies,afternoon,weekday
Sandwich,afternoon,weekday
Tartine,afternoon,weekday
Bread,afternoon,weekday
Pastry,afternoon,weekday
Bread,afternoon,weekday
Scandinavian,afternoon,weekday
Scandinavian,afternoon,weekday
Alfajores,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coke,afternoon,weekday
Soup,afternoon,weekday
Cake,afternoon,weekday
Tea,afternoon,weekday
Sandwich,afternoon,weekday
Soup,afternoon,weekday
Coffee,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Bread,afternoon,weekday
Alfajores,afternoon,weekday
Cake,afternoon,weekday
Tea,afternoon,weekday
Tea,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Bread,afternoon,weekday
Soup,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Scandinavian,afternoon,weekday
Fudge,afternoon,weekday
Coffee,afternoon,weekday
Sandwich,afternoon,weekday
Tea,afternoon,weekday
Bread,afternoon,weekday
Cookies,afternoon,weekday
Pastry,afternoon,weekday
Muffin,afternoon,weekday
Scandinavian,afternoon,weekday
Jam,afternoon,weekday
Tea,afternoon,weekday
Juice,afternoon,weekday
Tea,afternoon,weekday
Alfajores,afternoon,weekday
Cake,afternoon,weekday
Muffin,afternoon,weekday
Coffee,afternoon,weekday
Soup,afternoon,weekday
Hot chocolate,afternoon,weekday
Cake,afternoon,weekday
Coffee,afternoon,weekday
Cake,afternoon,weekday
Cookies,afternoon,weekday
Tea,afternoon,weekday
Bread,afternoon,weekday
Alfajores,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Juice,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Soup,afternoon,weekday
Hot chocolate,afternoon,weekday
Cookies,afternoon,weekday
Coffee,afternoon,weekday
Medialuna,afternoon,weekday
Bread,afternoon,weekday
Eggs,afternoon,weekday
Scandinavian,evening,weekday
Medialuna,evening,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Hot chocolate,morning,weekday
Pastry,morning,weekday
Coke,morning,weekday
Coffee,morning,weekday
Jam,morning,weekday
Tea,morning,weekday
Bread,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Alfajores,morning,weekday
Farm House,morning,weekday
Tea,morning,weekday
Pastry,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Jam,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Farm House,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Pastry,morning,weekday
Farm House,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Farm House,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Farm House,morning,weekday
Farm House,morning,weekday
Farm House,morning,weekday
Pastry,morning,weekday
Bread,morning,weekday
Juice,morning,weekday
Alfajores,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Bread,morning,weekday
Alfajores,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Cookies,morning,weekday
Coffee,morning,weekday
Cookies,morning,weekday
Hearty & Seasonal,morning,weekday
Coffee,morning,weekday
Jam,morning,weekday
Tartine,morning,weekday
Bread,morning,weekday
Farm House,morning,weekday
Scandinavian,morning,weekday
Hearty & Seasonal,afternoon,weekday
Coffee,afternoon,weekday
Muffin,afternoon,weekday
Scandinavian,afternoon,weekday
Tartine,afternoon,weekday
Pick and Mix Bowls,afternoon,weekday
Coffee,afternoon,weekday
Coke,afternoon,weekday
Bread,afternoon,weekday
Scandinavian,afternoon,weekday
Farm House,afternoon,weekday
Alfajores,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Juice,afternoon,weekday
Mineral water,afternoon,weekday
Soup,afternoon,weekday
Soup,afternoon,weekday
Tea,afternoon,weekday
Juice,afternoon,weekday
Tea,afternoon,weekday
Cookies,afternoon,weekday
Soup,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Tea,afternoon,weekday
Fudge,afternoon,weekday
Coffee,afternoon,weekday
Mineral water,afternoon,weekday
Juice,afternoon,weekday
Soup,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Smoothies,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Sandwich,afternoon,weekday
Sandwich,afternoon,weekday
Cookies,afternoon,weekday
Farm House,afternoon,weekday
Soup,afternoon,weekday
Tea,afternoon,weekday
Juice,afternoon,weekday
Soup,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Cookies,afternoon,weekday
Tea,afternoon,weekday
Soup,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Bread,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Fudge,afternoon,weekday
Tea,afternoon,weekday
Soup,afternoon,weekday
Tea,afternoon,weekday
Juice,afternoon,weekday
Alfajores,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Alfajores,afternoon,weekday
Juice,afternoon,weekday
Alfajores,afternoon,weekday
Cookies,afternoon,weekday
Pick and Mix Bowls,afternoon,weekday
Mineral water,afternoon,weekday
Coffee,evening,weekday
Alfajores,evening,weekday
Fudge,evening,weekday
Mighty Protein,evening,weekday
Juice,evening,weekday
Coffee,evening,weekday
Mineral water,evening,weekday
Alfajores,evening,weekday
Mighty Protein,evening,weekday
Coffee,evening,weekday
Alfajores,evening,weekday
Coffee,morning,weekday
Bread,morning,weekday
Medialuna,morning,weekday
Medialuna,morning,weekday
Medialuna,morning,weekday
Bread,morning,weekday
Farm House,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Farm House,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Medialuna,morning,weekday
Bread,morning,weekday
Tea,morning,weekday
Sandwich,morning,weekday
Bread,morning,weekday
Jam,morning,weekday
Coffee,morning,weekday
Farm House,morning,weekday
Focaccia,morning,weekday
Bread,morning,weekday
Tartine,morning,weekday
Pastry,morning,weekday
Bread,morning,weekday
My-5 Fruit Shoot,morning,weekday
Farm House,morning,weekday
Pastry,morning,weekday
Bread,morning,weekday
Pastry,morning,weekday
Pastry,morning,weekday
Bread,morning,weekday
Jam,morning,weekday
Coffee,morning,weekday
Farm House,morning,weekday
Bread,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Bread,morning,weekday
Jam,morning,weekday
Pastry,morning,weekday
Medialuna,morning,weekday
Medialuna,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Pastry,morning,weekday
Pastry,morning,weekday
Farm House,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Brownie,morning,weekday
Alfajores,morning,weekday
Fudge,morning,weekday
Bread,morning,weekday
Fudge,morning,weekday
Cookies,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Jam,morning,weekday
Pastry,morning,weekday
Soup,morning,weekday
Coffee,morning,weekday
Smoothies,morning,weekday
Soup,morning,weekday
Hearty & Seasonal,morning,weekday
Pastry,morning,weekday
Pastry,morning,weekday
Bread,morning,weekday
Pastry,morning,weekday
Medialuna,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Cookies,morning,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Pick and Mix Bowls,afternoon,weekday
Sandwich,afternoon,weekday
Focaccia,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Sandwich,afternoon,weekday
Brownie,afternoon,weekday
Brownie,afternoon,weekday
Cookies,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Sandwich,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Hot chocolate,afternoon,weekday
Tea,afternoon,weekday
Sandwich,afternoon,weekday
Coffee,afternoon,weekday
Brownie,afternoon,weekday
Brownie,afternoon,weekday
Pastry,afternoon,weekday
Focaccia,afternoon,weekday
Farm House,afternoon,weekday
Cake,afternoon,weekday
Focaccia,afternoon,weekday
Soup,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Mineral water,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Pastry,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Cake,afternoon,weekday
Coffee,afternoon,weekday
Soup,afternoon,weekday
Bread,afternoon,weekday
Focaccia,afternoon,weekday
Fudge,afternoon,weekday
Hot chocolate,afternoon,weekday
Coffee,afternoon,weekday
Alfajores,afternoon,weekday
Brownie,afternoon,weekday
Pastry,afternoon,weekday
Cake,afternoon,weekday
Medialuna,afternoon,weekday
Alfajores,afternoon,weekday
Dulce de Leche,afternoon,weekday
Dulce de Leche,afternoon,weekday
Alfajores,afternoon,weekday
Bread,afternoon,weekday
Cake,afternoon,weekday
Cake,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Sandwich,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Alfajores,afternoon,weekday
Medialuna,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Alfajores,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Dulce de Leche,afternoon,weekday
Farm House,afternoon,weekday
Fudge,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Alfajores,afternoon,weekday
Juice,afternoon,weekday
Ella's Kitchen Pouches,afternoon,weekday
Brownie,afternoon,weekday
Alfajores,afternoon,weekday
Alfajores,afternoon,weekday
Brownie,afternoon,weekday
Cookies,afternoon,weekday
Bread,afternoon,weekday
Juice,afternoon,weekday
Cake,afternoon,weekday
Cookies,afternoon,weekday
Pick and Mix Bowls,afternoon,weekday
Coffee,afternoon,weekday
Farm House,afternoon,weekday
Tea,evening,weekday
Coffee,evening,weekday
Focaccia,evening,weekday
Farm House,evening,weekday
Dulce de Leche,evening,weekday
Juice,evening,weekday
My-5 Fruit Shoot,evening,weekday
Ella's Kitchen Pouches,evening,weekday
Cookies,evening,weekday
Bread,evening,weekday
Hot chocolate,evening,weekday
Coffee,evening,weekday
Coffee,evening,weekday
Coffee,evening,weekday
Medialuna,morning,weekday
Bread,morning,weekday
Tea,morning,weekday
Jam,morning,weekday
Farm House,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Medialuna,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Medialuna,morning,weekday
Pastry,morning,weekday
Medialuna,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Jam,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Hot chocolate,morning,weekday
Bread,morning,weekday
Medialuna,morning,weekday
Bread,morning,weekday
Jam,morning,weekday
Jam,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Farm House,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Pastry,morning,weekday
Brownie,morning,weekday
Farm House,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Honey,morning,weekday
Cookies,morning,weekday
Tea,morning,weekday
Bread,morning,weekday
Brownie,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Tea,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
The BART,morning,weekday
Coffee,morning,weekday
Brownie,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Brownie,morning,weekday
Mineral water,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Tartine,morning,weekday
Brownie,morning,weekday
Coffee,morning,weekday
Brownie,morning,weekday
Juice,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Tea,morning,weekday
Alfajores,morning,weekday
Medialuna,morning,weekday
Pastry,morning,weekday
Jam,morning,weekday
Bread,afternoon,weekday
Fudge,afternoon,weekday
Fudge,afternoon,weekday
Coffee,afternoon,weekday
Pick and Mix Bowls,afternoon,weekday
Pastry,afternoon,weekday
Bread,afternoon,weekday
Soup,afternoon,weekday
Scandinavian,afternoon,weekday
Coffee,afternoon,weekday
Mineral water,afternoon,weekday
Juice,afternoon,weekday
Mineral water,afternoon,weekday
Sandwich,afternoon,weekday
Pick and Mix Bowls,afternoon,weekday
Bread,afternoon,weekday
Pastry,afternoon,weekday
Bread,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Coffee,afternoon,weekday
Mineral water,afternoon,weekday
Coffee,afternoon,weekday
Tartine,afternoon,weekday
Sandwich,afternoon,weekday
Brownie,afternoon,weekday
Coffee,afternoon,weekday
Brownie,afternoon,weekday
Alfajores,afternoon,weekday
Coffee,afternoon,weekday
Tartine,afternoon,weekday
Mighty Protein,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Hot chocolate,afternoon,weekday
Soup,afternoon,weekday
Jam,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Mineral water,afternoon,weekday
Brownie,afternoon,weekday
Scandinavian,afternoon,weekday
Coffee,afternoon,weekday
Scandinavian,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Hot chocolate,afternoon,weekday
Brownie,afternoon,weekday
Hearty & Seasonal,afternoon,weekday
Tea,afternoon,weekday
Cake,afternoon,weekday
Medialuna,afternoon,weekday
Alfajores,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Juice,afternoon,weekday
Brownie,afternoon,weekday
Alfajores,afternoon,weekday
Coffee,afternoon,weekday
Sandwich,afternoon,weekday
Bread,afternoon,weekday
Soup,afternoon,weekday
Soup,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Tea,afternoon,weekday
Brownie,afternoon,weekday
Cookies,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Brownie,afternoon,weekday
Brownie,afternoon,weekday
Cookies,afternoon,weekday
Bread,afternoon,weekday
Jam,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Brownie,afternoon,weekday
Tea,afternoon,weekday
Alfajores,afternoon,weekday
Medialuna,afternoon,weekday
Scandinavian,afternoon,weekday
Hot chocolate,evening,weekday
Coffee,evening,weekday
Alfajores,evening,weekday
Cookies,evening,weekday
Brownie,evening,weekday
Fudge,evening,weekday
Tea,evening,weekday
Brownie,evening,weekday
Dulce de Leche,evening,weekday
Fudge,evening,weekday
